#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
      0      2.54e+01      5.00e-01      7.18e-01      6.35e-01    1.0e-03
   2000      9.74e+00      2.33e-01      3.08e-01      6.27e-02    9.9e-04
   4000      3.24e+01      1.44e+00      9.43e-01      1.04e+00    9.9e-04
   6000      8.76e+00      1.37e-02      2.42e-01      2.47e-01    9.8e-04
   8000      4.28e+00      1.36e-01      9.05e-02      1.82e-01    9.7e-04
  10000      7.25e+00      5.53e-02      2.28e-01      1.24e-01    9.7e-04
  12000      4.61e+00      1.92e-01      7.97e-02      2.18e-01    9.6e-04
  14000      4.25e+00      5.68e-02      1.36e-01      3.29e-02    9.5e-04
  16000      2.72e+00      3.22e-02      4.94e-02      1.83e-01    9.5e-04
  18000      2.77e+00      2.54e-02      7.87e-02      8.97e-02    9.4e-04
  20000      5.78e+00      4.28e-02      1.89e-01      1.53e-02    9.3e-04
  22000      3.34e+00      4.75e-02      1.04e-01      6.25e-02    9.3e-04
  24000      5.23e+00      1.34e-01      1.36e-01      1.85e-01    9.2e-04
  26000      1.74e+00      3.14e-02      5.30e-02      3.77e-02    9.1e-04
  28000      8.20e+00      9.46e-02      1.81e-01      3.58e-01    9.1e-04
  30000      3.08e+00      1.50e-01      9.35e-02      7.15e-02    9.0e-04
  32000      2.76e+00      4.16e-02      9.13e-02      2.40e-02    9.0e-04
  34000      1.43e+00      4.10e-02      3.47e-02      5.79e-02    8.9e-04
  36000      5.10e+00      1.50e-02      1.12e-01      2.31e-01    8.8e-04
  38000      2.39e+00      5.26e-02      6.90e-02      1.04e-01    8.8e-04
  40000      2.75e+00      1.89e-02      9.26e-02      1.66e-02    8.7e-04
  42000      2.22e+00      3.67e-02      5.68e-02      8.69e-02    8.7e-04
  44000      6.61e+00      9.55e-02      1.61e-01      2.76e-01    8.6e-04
  46000      1.83e+00      1.22e-02      5.55e-02      7.19e-02    8.5e-04
  48000      2.63e+00      2.49e-02      8.85e-02      3.04e-02    8.5e-04
  50000      2.20e+00      2.70e-02      7.33e-02      3.37e-02    8.4e-04
  52000      1.69e+00      1.72e-02      5.08e-02      4.99e-02    8.4e-04
  54000      3.11e+00      1.11e-01      8.74e-02      1.09e-01    8.3e-04
  56000      2.73e+00      1.68e-02      5.95e-02      1.28e-01    8.3e-04
  58000      1.00e+00      6.06e-04      3.15e-02      2.70e-02    8.2e-04
  60000      3.02e+00      9.03e-03      1.00e-01      6.00e-02    8.1e-04
  62000      2.24e+00      4.56e-02      7.67e-02      3.09e-02    8.1e-04
  64000      5.30e+00      9.27e-02      7.92e-02      2.96e-01    8.0e-04
  66000      1.77e+00      8.50e-03      5.97e-02      4.96e-02    8.0e-04
  68000      2.22e+00      4.74e-02      6.05e-02      8.80e-02    7.9e-04
  70000      2.07e+00      3.25e-02      7.11e-02      3.38e-02    7.9e-04
  72000      1.16e+00      5.78e-02      4.02e-02      1.99e-02    7.8e-04
  74000      2.49e+00      1.88e-03      5.93e-02      1.17e-01    7.8e-04
  76000      1.71e+00      2.33e-02      6.12e-02      9.29e-03    7.7e-04
  78000      1.80e+00      3.11e-02      5.30e-02      6.53e-02    7.7e-04
  80000      3.13e+00      2.08e-02      7.58e-02      1.47e-01    7.6e-04
  82000      1.97e+00      3.13e-04      6.66e-02      4.58e-02    7.6e-04
  84000      3.70e+00      9.73e-02      1.27e-01      1.10e-01    7.5e-04
  86000      1.66e+00      9.78e-03      5.44e-02      6.72e-02    7.5e-04
  88000      2.31e+00      1.59e-01      6.86e-02      8.14e-02    7.4e-04
  90000      9.77e-01      5.49e-03      2.27e-02      4.79e-02    7.4e-04
  92000      7.94e+00      2.98e-02      2.83e-01      1.36e-01    7.3e-04
  94000      2.71e+00      3.66e-02      8.86e-02      8.22e-02    7.3e-04
  96000      2.56e+00      5.47e-03      7.48e-02      1.03e-01    7.2e-04
  98000      1.79e+00      1.34e-02      6.35e-02      3.57e-02    7.2e-04
