#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
      0      6.11e-01      1.63e-03      1.90e-02      4.11e-03    1.0e-03
   2000      5.18e-01      1.54e-02      1.49e-02      1.21e-02    9.9e-04
   4000      4.06e-01      7.92e-03      7.37e-03      1.88e-02    9.9e-04
   6000      3.80e-01      4.14e-03      1.17e-02      5.63e-03    9.8e-04
   8000      4.65e-01      2.06e-02      1.35e-02      1.12e-02    9.7e-04
  10000      3.38e-01      4.12e-03      6.81e-03      1.49e-02    9.7e-04
  12000      4.24e+00      1.18e-01      1.18e-01      1.22e-01    9.6e-04
  14000      6.94e-01      8.23e-03      2.06e-02      1.61e-02    9.5e-04
  16000      5.61e-01      7.13e-02      1.26e-02      1.21e-02    9.5e-04
  18000      5.38e-01      7.13e-03      1.38e-02      1.27e-02    9.4e-04
  20000      7.82e-01      2.09e-03      2.17e-02      2.38e-02    9.3e-04
  22000      9.62e-01      3.74e-02      1.62e-02      4.77e-02    9.3e-04
  24000      2.96e-01      3.74e-02      7.39e-03      1.05e-02    9.2e-04
  26000      2.47e-01      9.63e-03      7.10e-03      7.05e-03    9.1e-04
  28000      4.85e-01      3.18e-02      1.10e-02      1.33e-02    9.1e-04
  30000      4.97e-01      1.80e-02      8.40e-03      1.66e-02    9.0e-04
  32000      2.96e+00      5.76e-02      9.73e-02      2.86e-02    9.0e-04
  34000      3.52e-01      1.35e-02      7.59e-03      1.58e-02    8.9e-04
  36000      3.01e-01      6.06e-03      5.54e-03      1.72e-02    8.8e-04
  38000      3.20e-01      1.73e-03      8.51e-03      1.18e-02    8.8e-04
  40000      6.71e-01      2.68e-02      5.64e-03      2.56e-02    8.7e-04
  42000      4.92e-01      2.18e-02      1.40e-02      1.57e-02    8.7e-04
  44000      3.31e-01      1.57e-03      8.68e-03      8.41e-03    8.6e-04
  46000      3.90e-01      8.36e-03      1.09e-02      1.34e-02    8.5e-04
  48000      2.85e+00      9.25e-02      8.95e-02      6.73e-02    8.5e-04
  50000      2.59e+00      5.54e-02      7.28e-02      8.86e-02    8.4e-04
  52000      4.51e-01      4.57e-04      1.46e-02      1.07e-02    8.4e-04
  54000      2.78e-01      4.68e-03      5.60e-03      1.37e-02    8.3e-04
  56000      6.81e-01      3.91e-03      1.36e-02      2.27e-02    8.3e-04
  58000      2.97e-01      2.86e-03      5.72e-03      1.51e-02    8.2e-04
  60000      4.94e-01      1.39e-02      1.35e-02      1.89e-02    8.1e-04
  62000      2.25e-01      2.70e-03      5.38e-03      1.01e-02    8.1e-04
  64000      2.94e-01      9.04e-03      9.59e-03      6.67e-03    8.0e-04
  66000      3.80e-01      1.27e-03      1.25e-02      8.79e-03    8.0e-04
  68000      4.79e-01      1.78e-02      1.25e-02      1.99e-02    7.9e-04
  70000      3.56e-01      5.17e-04      9.19e-03      1.02e-02    7.9e-04
  72000      5.27e-01      1.93e-02      8.81e-03      2.89e-02    7.8e-04
  74000      3.90e-01      1.25e-04      5.10e-03      1.51e-02    7.8e-04
  76000      2.94e-01      1.66e-02      4.44e-03      1.08e-02    7.7e-04
  78000      3.46e+00      2.33e-02      1.22e-01      4.93e-02    7.7e-04
  80000      5.69e-01      1.14e-02      1.34e-02      2.72e-02    7.6e-04
  82000      2.41e-01      1.65e-02      2.13e-03      1.45e-02    7.6e-04
  84000      3.49e-01      1.44e-02      1.13e-02      9.93e-03    7.5e-04
  86000      2.63e-01      1.23e-02      1.88e-03      1.63e-02    7.5e-04
  88000      4.02e-01      6.53e-03      1.11e-02      1.70e-02    7.4e-04
  90000      2.63e-01      2.75e-04      5.73e-03      1.57e-02    7.4e-04
  92000      4.07e-01      2.83e-03      1.14e-02      1.71e-02    7.3e-04
  94000      1.85e-01      7.55e-04      4.18e-03      6.30e-03    7.3e-04
  96000      3.64e-01      2.10e-02      1.17e-02      1.15e-02    7.2e-04
  98000      1.64e-01      8.09e-03      5.60e-03      4.06e-03    7.2e-04
