#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
      0      8.96e+00      4.16e-02      2.81e-01      9.44e-02    1.0e-03
   2000      1.24e+01      2.39e-02      3.73e-01      2.15e-01    9.9e-04
   4000      1.72e+01      7.75e-02      5.40e-01      2.47e-01    9.9e-04
   6000      1.18e+01      2.27e-01      3.35e-01      2.99e-01    9.8e-04
   8000      1.70e+01      5.95e-02      5.29e-01      3.04e-01    9.7e-04
  10000      1.54e+01      1.54e-01      4.84e-01      2.44e-01    9.7e-04
  12000      1.64e+01      1.24e-02      5.19e-01      2.48e-01    9.6e-04
  14000      1.65e+01      6.41e-02      5.27e-01      1.48e-01    9.5e-04
  16000      7.02e+00      1.02e-01      2.04e-01      1.79e-01    9.5e-04
  18000      1.20e+01      2.48e-02      3.74e-01      2.08e-01    9.4e-04
  20000      8.31e+00      1.74e-01      2.62e-01      1.84e-01    9.3e-04
  22000      1.09e+01      1.07e-01      3.40e-01      2.95e-01    9.3e-04
  24000      9.86e+00      2.05e-02      3.01e-01      2.20e-01    9.2e-04
  26000      1.03e+01      1.87e-01      3.19e-01      3.17e-01    9.1e-04
  28000      1.34e+01      3.30e-02      4.12e-01      2.86e-01    9.1e-04
  30000      1.54e+01      1.23e-01      5.07e-01      1.72e-01    9.0e-04
  32000      1.65e+01      1.23e-01      5.43e-01      1.65e-01    9.0e-04
  34000      1.51e+01      1.54e-01      5.03e-01      1.35e-01    8.9e-04
  36000      1.09e+01      2.54e-02      3.56e-01      1.49e-01    8.8e-04
  38000      1.22e+01      1.01e-01      3.93e-01      2.17e-01    8.8e-04
  40000      1.42e+01      2.92e-02      4.79e-01      7.35e-02    8.7e-04
  42000      1.69e+01      2.39e-01      5.74e-01      5.68e-02    8.7e-04
  44000      6.24e+00      2.39e-01      6.13e-02      3.56e-01    8.6e-04
  46000      1.64e+01      1.66e-01      5.61e-01      6.23e-02    8.5e-04
  48000      2.17e+01      1.61e-01      7.42e-01      2.08e-01    8.5e-04
  50000      9.41e+00      2.64e-01      2.55e-01      3.48e-01    8.4e-04
  52000      8.66e+00      1.83e-01      2.61e-01      2.54e-01    8.4e-04
  54000      4.83e+00      3.84e-02      1.65e-01      5.33e-02    8.3e-04
  56000      4.52e+00      1.58e-02      1.21e-01      1.76e-01    8.3e-04
  58000      3.85e+00      1.23e-01      1.31e-01      4.69e-02    8.2e-04
  60000      1.89e+01      3.28e-02      6.30e-01      3.65e-01    8.1e-04
  62000      3.18e+00      5.47e-02      1.09e-01      4.25e-02    8.1e-04
  64000      7.14e+00      1.82e-02      2.18e-01      2.20e-01    8.0e-04
  66000      4.59e+00      9.61e-03      1.20e-01      1.91e-01    8.0e-04
  68000      3.57e+00      1.66e-01      1.16e-01      8.42e-02    7.9e-04
  70000      1.45e+01      1.51e-01      5.08e-01      1.58e-01    7.9e-04
  72000      1.75e+01      1.92e-01      6.23e-01      1.10e-01    7.8e-04
  74000      1.61e+01      3.71e-02      5.76e-01      1.40e-01    7.8e-04
  76000      1.42e+01      3.83e-02      4.20e-01      5.12e-01    7.7e-04
  78000      1.14e+01      4.80e-02      4.06e-01      1.45e-01    7.7e-04
  80000      9.97e+00      1.51e-01      3.41e-01      2.09e-01    7.6e-04
  82000      2.69e+00      1.54e-01      8.01e-02      9.35e-02    7.6e-04
  84000      8.45e+00      7.29e-02      2.88e-01      1.90e-01    7.5e-04
  86000      1.77e+01      3.26e-02      6.38e-01      1.92e-01    7.5e-04
  88000      1.01e+01      9.19e-03      3.63e-01      1.39e-01    7.4e-04
  90000      1.13e+01      4.42e-02      4.05e-01      1.80e-01    7.4e-04
  92000      9.42e+00      2.08e-02      3.44e-01      1.02e-01    7.3e-04
  94000      6.62e+00      5.08e-02      1.99e-01      2.51e-01    7.3e-04
  96000      2.17e+00      1.15e-02      7.81e-02      3.48e-02    7.2e-04
  98000      1.49e+01      4.08e-02      5.53e-01      1.67e-01    7.2e-04
 100000      1.00e+01      1.05e-01      3.49e-01      2.41e-01    7.1e-04
 102000      1.10e+01      3.96e-02      3.64e-01      3.53e-01    7.1e-04
 104000      6.31e+00      1.25e-01      1.84e-01      2.60e-01    7.0e-04
 106000      5.89e+00      6.34e-02      2.21e-01      4.92e-02    7.0e-04
 108000      1.10e+01      9.46e-03      3.59e-01      5.29e-01    6.9e-04
 110000      5.26e+00      3.13e-02      1.79e-01      1.56e-01    6.9e-04
 112000      1.31e+01      8.91e-02      4.95e-01      1.74e-01    6.8e-04
 114000      1.69e+01      8.16e-02      6.44e-01      2.32e-01    6.8e-04
 116000      2.10e+00      5.17e-02      7.93e-02      2.60e-02    6.7e-04
 118000      6.86e+00      7.98e-03      2.36e-01      2.08e-01    6.7e-04
 120000      4.93e+00      1.88e-01      1.80e-01      1.05e-01    6.6e-04
 122000      1.18e+01      8.35e-02      3.83e-01      4.33e-01    6.6e-04
 124000      1.19e+01      2.83e-02      4.15e-01      3.56e-01    6.5e-04
 126000      1.77e+01      8.82e-02      6.90e-01      1.24e-01    6.5e-04
 128000      1.04e+01      5.15e-02      4.01e-01      1.52e-01    6.5e-04
 130000      4.84e+00      5.31e-02      1.87e-01      6.47e-02    6.4e-04
 132000      6.29e+00      1.40e-01      1.98e-01      3.67e-01    6.4e-04
 134000      2.12e+00      1.86e-01      3.27e-02      1.26e-01    6.3e-04
 136000      1.37e+01      3.42e-02      5.39e-01      1.96e-01    6.3e-04
