#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
      0      6.76e+00      1.96e-02      2.13e-01      3.12e-02    1.0e-03
   2000      5.84e+00      4.86e-03      1.68e-01      1.96e-01    9.9e-04
   4000      4.97e+00      2.22e-02      1.40e-01      1.87e-01    9.9e-04
   6000      1.87e+01      2.75e-01      1.44e-01      1.45e+00    9.8e-04
   8000      3.12e+00      6.20e-02      9.48e-02      7.80e-02    9.7e-04
  10000      3.75e+00      1.56e-02      1.21e-01      7.77e-03    9.7e-04
  12000      5.75e+00      7.41e-02      1.50e-01      2.73e-01    9.6e-04
  14000      3.71e+00      7.91e-03      1.09e-01      6.20e-02    9.5e-04
  16000      6.44e+00      2.94e-02      1.74e-01      2.05e-01    9.5e-04
  18000      5.11e+00      3.46e-02      1.58e-01      1.36e-01    9.4e-04
  20000      4.66e+00      1.08e-02      1.51e-01      2.31e-02    9.3e-04
  22000      3.00e+00      2.03e-02      8.27e-02      1.34e-01    9.3e-04
  24000      6.32e+00      2.78e-02      1.50e-01      2.54e-01    9.2e-04
  26000      1.55e+01      1.06e-01      2.62e-01      5.46e-01    9.1e-04
  28000      3.65e+00      1.60e-02      1.08e-01      1.40e-01    9.1e-04
  30000      1.15e+01      3.32e-02      2.53e-01      5.04e-01    9.0e-04
  32000      4.54e+00      2.27e-02      1.51e-01      2.93e-02    9.0e-04
  34000      6.08e+00      3.86e-02      2.02e-01      7.39e-02    8.9e-04
  36000      2.16e+00      2.69e-02      7.10e-02      3.89e-02    8.8e-04
  38000      3.78e+00      3.49e-02      1.25e-01      6.01e-02    8.8e-04
  40000      4.72e+00      1.16e-03      1.58e-01      4.45e-02    8.7e-04
  42000      5.03e+00      9.80e-02      1.70e-01      2.80e-02    8.7e-04
  44000      3.41e+00      2.45e-02      1.12e-01      5.25e-02    8.6e-04
  46000      3.37e+00      4.21e-02      1.10e-01      4.11e-02    8.5e-04
  48000      4.72e+00      3.86e-02      1.58e-01      6.12e-02    8.5e-04
  50000      4.80e+00      3.03e-02      1.63e-01      6.20e-02    8.4e-04
  52000      5.16e+00      3.48e-02      1.76e-01      4.89e-02    8.4e-04
  54000      2.39e+01      6.99e-01      8.16e-01      3.47e-01    8.3e-04
  56000      3.19e+00      1.38e-01      8.94e-02      1.14e-01    8.3e-04
  58000      4.69e+00      1.25e-01      1.28e-01      1.77e-01    8.2e-04
  60000      3.55e+00      6.10e-02      1.24e-01      2.28e-02    8.1e-04
  62000      2.32e+00      5.47e-02      7.51e-02      3.85e-02    8.1e-04
  64000      5.86e+00      1.61e-02      1.64e-01      3.09e-01    8.0e-04
  66000      4.79e+00      3.60e-02      1.68e-01      5.36e-02    8.0e-04
  68000      4.08e+00      6.30e-02      1.35e-01      1.28e-01    7.9e-04
  70000      3.71e+00      2.19e-02      1.29e-01      4.78e-02    7.9e-04
  72000      4.37e+00      3.17e-02      1.49e-01      1.20e-01    7.8e-04
  74000      3.04e+00      1.13e-03      1.06e-01      4.33e-02    7.8e-04
  76000      3.98e+00      2.39e-02      1.33e-01      1.30e-01    7.7e-04
  78000      4.92e+00      5.07e-02      1.78e-01      1.24e-02    7.7e-04
  80000      5.10e+00      1.90e-02      1.84e-01      2.48e-02    7.6e-04
  82000      3.71e+00      2.09e-02      1.34e-01      2.78e-02    7.6e-04
  84000      2.57e+00      6.31e-02      8.87e-02      7.34e-02    7.5e-04
  86000      4.78e+00      1.56e-02      1.74e-01      4.93e-02    7.5e-04
  88000      4.12e+00      5.84e-02      1.51e-01      2.59e-02    7.4e-04
  90000      4.19e+00      6.41e-02      1.52e-01      4.46e-02    7.4e-04
  92000      3.18e+00      1.51e-02      1.14e-01      5.13e-02    7.3e-04
  94000      4.77e+00      3.19e-02      1.76e-01      2.96e-02    7.3e-04
  96000      3.85e+00      8.17e-02      1.12e-01      1.55e-01    7.2e-04
  98000      3.23e+00      1.23e-01      1.06e-01      6.58e-02    7.2e-04
 100000      4.10e+00      1.00e-02      1.52e-01      4.13e-02    7.1e-04
 102000      4.10e+00      2.01e-01      1.03e-01      2.79e-01    7.1e-04
 104000      2.63e+00      8.59e-02      7.01e-02      1.71e-01    7.0e-04
 106000      4.61e+00      5.37e-02      1.74e-01      4.31e-02    7.0e-04
 108000      1.60e+00      3.92e-02      5.71e-02      5.19e-02    6.9e-04
 110000      3.04e+00      6.81e-02      1.05e-01      1.20e-01    6.9e-04
 112000      3.60e+00      2.39e-02      1.37e-01      3.44e-02    6.8e-04
 114000      1.95e+00      9.36e-03      7.42e-02      1.47e-02    6.8e-04
 116000      3.99e+00      4.13e-02      1.49e-01      6.64e-02    6.7e-04
