#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
      0      1.01e+02      8.03e-02      1.01e+00      3.84e-01    1.0e-03
   2000      2.47e+01      4.22e-02      2.47e-01      1.45e-01    9.9e-04
   4000      2.86e+01      1.62e-01      2.84e-01      2.54e-01    9.9e-04
   6000      2.36e+01      4.59e-02      2.31e-01      3.54e-01    9.8e-04
   8000      1.89e+01      1.07e-01      1.81e-01      4.26e-01    9.7e-04
  10000      2.09e+01      1.66e-01      2.08e-01      1.02e-01    9.7e-04
  12000      2.64e+01      7.54e-02      2.64e-01      9.46e-02    9.6e-04
  14000      1.91e+01      8.28e-02      1.90e-01      1.69e-01    9.5e-04
  16000      2.23e+01      1.22e-01      2.22e-01      2.99e-02    9.5e-04
  18000      2.33e+01      4.92e-03      2.33e-01      5.02e-02    9.4e-04
  20000      2.46e+01      1.14e-01      2.44e-01      1.66e-01    9.3e-04
  22000      1.88e+01      7.68e-02      1.86e-01      2.01e-01    9.3e-04
  24000      2.75e+01      4.26e-02      2.75e-01      2.98e-01    9.2e-04
  26000      2.13e+01      1.53e-02      2.13e-01      8.66e-02    9.1e-04
  28000      1.88e+01      5.70e-02      1.88e-01      5.69e-02    9.1e-04
  30000      1.74e+01      5.03e-02      1.74e-01      9.78e-02    9.0e-04
  32000      1.49e+01      6.43e-03      1.49e-01      6.08e-02    9.0e-04
  34000      1.45e+01      4.85e-03      1.44e-01      1.24e-01    8.9e-04
  36000      1.73e+01      4.46e-02      1.73e-01      4.80e-02    8.8e-04
  38000      1.48e+01      2.23e-02      1.48e-01      8.16e-02    8.8e-04
  40000      2.21e+01      2.27e-02      2.20e-01      1.92e-01    8.7e-04
  42000      2.39e+01      1.29e-02      2.38e-01      1.49e-01    8.7e-04
  44000      2.30e+01      1.78e-02      2.30e-01      5.74e-02    8.6e-04
  46000      1.41e+01      1.65e-02      1.40e-01      1.27e-01    8.5e-04
  48000      1.74e+01      3.57e-02      1.73e-01      1.40e-01    8.5e-04
  50000      1.95e+01      3.41e-04      1.94e-01      1.05e-01    8.4e-04
  52000      2.07e+01      6.73e-03      2.07e-01      2.44e-02    8.4e-04
  54000      2.12e+01      1.48e-03      2.11e-01      1.82e-01    8.3e-04
  56000      1.54e+01      1.50e-02      1.54e-01      6.35e-02    8.3e-04
  58000      2.15e+01      3.04e-02      2.15e-01      1.20e-01    8.2e-04
  60000      3.15e+01      6.01e-02      3.10e-01      4.45e-01    8.1e-04
  62000      1.78e+01      1.32e-02      1.77e-01      1.66e-01    8.1e-04
  64000      1.33e+01      4.40e-03      1.31e-01      1.23e-01    8.0e-04
  66000      2.15e+01      2.16e-02      2.15e-01      6.88e-02    8.0e-04
  68000      2.26e+01      2.29e-02      2.25e-01      8.04e-02    7.9e-04
  70000      1.41e+01      8.32e-03      1.41e-01      5.47e-02    7.9e-04
  72000      2.14e+01      5.05e-02      2.13e-01      7.91e-02    7.8e-04
  74000      1.98e+01      1.72e-02      1.98e-01      1.12e-01    7.8e-04
  76000      2.07e+01      9.93e-03      2.07e-01      2.94e-02    7.7e-04
  78000      2.13e+01      4.26e-04      2.13e-01      4.83e-02    7.7e-04
  80000      1.91e+01      2.64e-02      1.91e-01      5.83e-02    7.6e-04
  82000      2.85e+01      1.58e-02      2.85e-01      9.71e-02    7.6e-04
  84000      1.46e+01      8.82e-03      1.46e-01      5.85e-02    7.5e-04
  86000      2.22e+01      5.27e-02      2.22e-01      1.28e-01    7.5e-04
  88000      1.74e+01      1.54e-02      1.73e-01      8.08e-02    7.4e-04
  90000      1.36e+01      4.03e-02      1.36e-01      5.37e-02    7.4e-04
  92000      1.40e+01      7.32e-02      1.39e-01      5.87e-02    7.3e-04
  94000      1.67e+01      1.42e-02      1.66e-01      1.71e-01    7.3e-04
  96000      2.12e+01      1.09e-02      2.12e-01      1.03e-01    7.2e-04
  98000      1.86e+01      4.69e-03      1.86e-01      6.44e-02    7.2e-04
 100000      1.86e+01      1.26e-02      1.85e-01      1.22e-01    7.1e-04
 102000      1.78e+01      2.13e-02      1.78e-01      6.15e-02    7.1e-04
 104000      1.25e+01      8.84e-03      1.25e-01      7.63e-02    7.0e-04
 106000      2.11e+01      2.84e-02      2.11e-01      6.26e-02    7.0e-04
 108000      1.85e+01      1.13e-02      1.85e-01      7.97e-02    6.9e-04
 110000      2.19e+01      2.80e-02      2.19e-01      4.49e-02    6.9e-04
 112000      2.38e+01      1.57e-02      2.37e-01      7.43e-02    6.8e-04
 114000      1.50e+01      3.44e-02      1.50e-01      5.90e-02    6.8e-04
 116000      2.06e+01      2.56e-02      2.05e-01      1.67e-01    6.7e-04
 118000      2.09e+01      5.14e-02      2.06e-01      2.61e-01    6.7e-04
 120000      1.38e+01      1.53e-02      1.37e-01      7.27e-02    6.6e-04
 122000      1.73e+01      5.44e-03      1.70e-01      2.40e-01    6.6e-04
 124000      1.43e+01      5.96e-03      1.42e-01      8.49e-02    6.5e-04
 126000      2.06e+01      1.65e-02      2.06e-01      5.76e-02    6.5e-04
 128000      1.62e+01      2.35e-02      1.61e-01      1.29e-01    6.5e-04
 130000      9.99e+00      1.49e-02      9.94e-02      7.64e-02    6.4e-04
 132000      1.71e+01      3.40e-02      1.70e-01      1.23e-01    6.4e-04
 134000      1.13e+01      1.62e-02      1.13e-01      3.79e-02    6.3e-04
 136000      1.74e+01      7.49e-03      1.74e-01      1.10e-01    6.3e-04
 138000      2.03e+01      3.47e-02      2.03e-01      9.07e-02    6.2e-04
 140000      2.09e+01      1.88e-03      2.09e-01      9.66e-02    6.2e-04
 142000      1.72e+01      4.24e-02      1.71e-01      1.04e-01    6.2e-04
 144000      1.92e+01      6.28e-03      1.92e-01      7.18e-02    6.1e-04
 146000      2.20e+01      1.84e-02      2.19e-01      1.00e-01    6.1e-04
 148000      1.92e+01      2.48e-02      1.92e-01      6.87e-02    6.0e-04
 150000      1.79e+01      1.19e-02      1.79e-01      6.62e-02    6.0e-04
 152000      1.92e+01      6.93e-03      1.92e-01      9.77e-02    5.9e-04
 154000      1.23e+01      3.43e-02      1.22e-01      1.25e-01    5.9e-04
 156000      1.17e+01      2.83e-02      1.17e-01      7.02e-02    5.9e-04
 158000      1.54e+01      3.97e-03      1.53e-01      1.43e-01    5.8e-04
 160000      1.64e+01      1.41e-03      1.63e-01      1.27e-01    5.8e-04
 162000      1.52e+01      7.90e-02      1.51e-01      1.06e-01    5.7e-04
 164000      1.36e+01      7.52e-03      1.35e-01      1.24e-01    5.7e-04
 166000      1.41e+01      4.16e-02      1.41e-01      6.86e-02    5.7e-04
 168000      2.34e+01      3.45e-02      2.33e-01      9.14e-02    5.6e-04
 170000      1.34e+01      1.67e-02      1.34e-01      7.67e-02    5.6e-04
 172000      2.25e+01      8.26e-03      2.24e-01      9.69e-02    5.6e-04
